1|0001F|HEART FAILURE COMPOSITE||
2|0005F|OSTEOARTHRITIS COMPOSITE||
3|00100|ANESTH, SALIVARY GLAND||
4|00102|ANESTH, REPAIR OF CLEFT LIP||
5|00103|ANESTH, BLEPHAROPLASTY||
6|00104|ANESTH, ELECTROSHOCK||
7|00120|ANESTH, EAR SURGERY||
8|00124|ANESTH, EAR EXAM||
9|00126|ANESTH, TYMPANOTOMY||
10|0012F|CAP BACTERIAL ASSESS||
11|00140|ANESTH, PROCEDURES ON EYE||
12|00142|ANESTH, LENS SURGERY||
13|00144|ANESTH, CORNEAL TRANSPLANT||
14|00145|ANESTH, VITREORETINAL SURG||
15|00147|ANESTH, IRIDECTOMY||
16|00148|ANESTH, EYE EXAM||
17|00160|ANESTH, NOSE/SINUS SURGERY||
18|00162|ANESTH, NOSE/SINUS SURGERY||
19|00164|ANESTH, BIOPSY OF NOSE||
20|0016T|THERMOTX CHOROID VASC LESION||
21|00170|ANESTH, PROCEDURE ON MOUTH||
22|00172|ANESTH, CLEFT PALATE REPAIR||
23|00174|ANESTH, PHARYNGEAL SURGERY||
24|00176|ANESTH, PHARYNGEAL SURGERY||
25|0017T|PHOTOCOAGULAT MACULAR DRUSEN||
26|00190|ANESTH, FACE/SKULL BONE SURG||
27|00192|ANESTH, FACIAL BONE SURGERY||
28|0019T|EXTRACORP SHOCK WV TX,MS NOS||
29|00210|ANESTH, OPEN HEAD SURGERY||
30|00212|ANESTH, SKULL DRAINAGE||
31|00214|ANESTH, SKULL DRAINAGE||
32|00215|ANESTH, SKULL REPAIR/FRACT||
33|00216|ANESTH, HEAD VESSEL SURGERY||
34|00218|ANESTH, SPECIAL HEAD SURGERY||
35|00220|ANESTH, INTRCRN NERVE||
36|00222|ANESTH, HEAD NERVE SURGERY||
37|0026T|MEASURE REMNANT LIPOPROTEINS||
38|0027T|ENDOSCOPIC EPIDURAL LYSIS||
39|0028T|DEXA BODY COMPOSITION STUDY||
40|0029T|MAGNETIC TX FOR INCONTINENCE||
41|00300|ANESTH, HEAD/NECK/PTRUNK||
42|0030T|ANTIPROTHROMBIN ANTIBODY||
43|0031T|SPECULOSCOPY||
44|00320|ANESTH, NECK ORGAN, 1 & OVER||
45|00322|ANESTH, BIOPSY OF THYROID||
46|00326|ANESTH, LARYNX/TRACH, < 1 YR||
47|0032T|SPECULOSCOPY W/DIRECT SAMPLE||
48|00350|ANESTH, NECK VESSEL SURGERY||
49|00352|ANESTH, NECK VESSEL SURGERY||
50|00400|ANESTH, SKIN, EXT/PER/ATRUNK||
51|00402|ANESTH, SURGERY OF BREAST||
52|00404|ANESTH, SURGERY OF BREAST||
53|00406|ANESTH, SURGERY OF BREAST||
54|00410|ANESTH, CORRECT HEART RHYTHM||
55|0041T|DETECT UR INFECT AGNT W/CPAS||
56|0042T|CT PERFUSION W/CONTRAST, CBF||
57|0043T|CO EXPIRED GAS ANALYSIS||
58|00450|ANESTH, SURGERY OF SHOULDER||
59|00452|ANESTH, SURGERY OF SHOULDER||
60|00454|ANESTH, COLLAR BONE BIOPSY||
61|0046T|CATH LAVAGE, MAMMARY DUCT(S)||
62|00470|ANESTH, REMOVAL OF RIB||
63|00472|ANESTH, CHEST WALL REPAIR||
64|00474|ANESTH, SURGERY OF RIB(S)||
65|0047T|CATH LAVAGE, MAMMARY DUCT(S)||
66|0048T|IMPLANT VENTRICULAR DEVICE||
67|0049T|EXTERNAL CIRCULATION ASSIST||
